#Energy Flux
0.9325 3.09257
2.5975 1.0303
4.2625 0.417377
5.9275 0.213423
7.5925 0.13171
9.2575 0.0946207
10.9225 0.0700133
12.5875 0.0569181
14.2525 0.0463712
15.9175 0.0369864
17.5825 0.0330412
19.2475 0.028
20.9125 0.0247374
22.5775 0.0211529
24.2425 0.020257
25.9075 0.016127
27.5725 0.0152944
29.2375 0.0131513
30.9025 0.0125846
32.5675 0.0110116
34.2325 0.00982914
35.8975 0.00922519
37.5625 0.00883903
39.2275 0.008883
40.8925 0.00805813
42.5575 0.00668248
44.2225 0.00672924
45.8875 0.00601171
47.5525 0.00683913
49.2175 0.0059182
50.8825 0.00575908
52.5475 0.00497974
54.2125 0.00418759
55.8775 0.00450418
57.5425 0.00486656
59.2075 0.00403933
60.8725 0.00412958
62.5375 0.00423894
64.2025 0.0038325
65.8675 0.00382764
67.5325 0.0041424
69.1975 0.00385645
70.8625 0.00324093
72.5275 0.00298833
74.1925 0.00269053
75.8575 0.00307494
77.5225 0.00260391
79.1875 0.00274689
80.8525 0.00238936
82.5175 0.00231725
84.1825 0.00219519
85.8475 0.00265816
87.5125 0.00254349
89.1775 0.00194862
90.8425 0.00158358
92.5075 0.00188081
94.1725 0.0018024
95.8375 0.00191752
97.5025 0.0022804
