 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
131.248971696513	0.632570287670774	-0.91887368035421	2.17959673271651e-07	2.1704424652897e-08	-2.31521761099288e-08
132.577318487946	0.528133529940959	-0.695776503762033	2.81684388579547e-07	2.80363065164565e-08	-2.84367683820555e-08
133.652567944665	0.509665067161393	-0.547115926777593	3.20782497617072e-07	3.19057610998971e-08	-3.19367096127122e-08
134.788216250188	0.614061772680657	-0.625983238362352	2.80201249217355e-07	2.78640532984809e-08	-2.79199341491959e-08
135.889465718142	0.471900272600323	-0.487187695272695	3.48234896816284e-07	3.45812904165946e-08	-3.4645154697163e-08
136.798272027439	0.424179974235983	-0.436906036696996	3.70194749900322e-07	3.67575866711686e-08	-3.67572162482891e-08
137.739205270287	0.442198741065596	-0.516753268612405	3.25274728382642e-07	3.22647761159947e-08	-3.22754761526106e-08
138.932233149217	0.865489846063497	-0.750829137864514	3.11057164791918e-07	2.41319775061416e-08	-2.41465019861897e-08
NO	NO	NO	NO	NO
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
144.913	1.035	-0.957	5.5775892e-07	4.77200827e-08	-4.7559001e-08
146.851	0.873	-0.903	6.302116e-07	5.3245983e-08	-5.31638983e-08
148.473	0.717	-0.749	7.69367422e-07	6.44324795e-08	-6.43700839e-08
150.264	0.940	-1.074	5.5789125e-07	4.69695711e-08	-4.68698825e-08
152.405	1.112	-1.201	4.79323721e-07	4.09621901e-08	-4.08337498e-08
154.510	1.076	-0.993	5.45167921e-07	4.58823799e-08	-4.58308113e-08
156.768	1.082	-1.182	4.99514873e-07	4.22632346e-08	-4.20702333e-08
158.899	1.087	-1.048	5.28668375e-07	4.46607735e-08	-4.46059568e-08
161.325	1.120	-1.339	4.58456884e-07	3.890080148e-08	-3.875232321e-08
163.627	1.113	-1.182	4.91310012e-07	4.15694244e-08	-4.14997707e-08
165.902	1.060	-1.163	5.04708625e-07	4.28028202e-08	-4.26678837e-08
168.229	1.334	-1.267	4.29010251e-07	3.64792908e-08	-3.641107669e-08
170.844	1.403	-1.281	4.18439891e-07	3.53498342e-08	-3.527779455e-08
173.449	1.172	-1.201	4.76252061e-07	3.99509082e-08	-3.989212561e-08
