#Energy(keV) Flux(ph/s/keV/cm^2)   
0.0317187 0.344371
0.035457 0.380173
0.0396359 0.41928
0.0443074 0.461927
0.0495294 0.508298
0.0553669 0.558613
0.0618924 0.613024
0.069187 0.671612
0.0773413 0.734456
0.0864567 0.801497
0.0966464 0.872584
0.108037 0.947395
0.12077 1.02546
0.135004 1.10611
0.150916 1.18838
0.168702 1.27105
0.188586 1.35257
0.210812 1.43108
0.235658 1.50441
0.263433 1.56999
0.294481 1.62508
0.329188 1.66681
0.367986 1.69215
0.411356 1.69885
0.459838 1.68466
0.514034 1.6478
0.574618 1.58777
0.642342 1.50571
0.718048 1.40408
0.802677 1.28618
0.897279 1.15655
1.00303 1.02013
1.12125 0.882235
1.2534 0.747528
1.40112 0.619679
1.56626 0.50227
1.75086 0.397194
1.95721 0.305709
2.18788 0.228401
2.44575 0.165034
2.734 0.114913
3.05623 0.0768046
3.41643 0.0489532
3.81909 0.0296081
4.26921 0.0168551
4.77237 0.00897047
5.33484 0.00442033
5.9636 0.00199698
6.66646 0.000817914
7.45217 0.00030023
8.33047 9.75432e-05
9.3123 2.76519e-05
10.4098 6.75088e-06
11.6367 1.40005e-06
13.0082 2.43662e-07
14.5414 3.49348e-08
16.2552 3.63614e-09
18.171 2.48246e-10
20.3126 3.10987e-11
22.7067 2.40587e-12
25.3829 2.92031e-14
28.3745 0
