#Energy(keV) Flux(ph/s/keV/cm^2)
0.0317187 0.0670239
0.035457 0.0743225
0.0396359 0.0823355
0.0443074 0.0911173
0.0495294 0.100714
0.0553669 0.111172
0.0618924 0.122535
0.069187 0.134833
0.0773413 0.148083
0.0864567 0.162294
0.0966464 0.17745
0.108037 0.193502
0.12077 0.210375
0.135004 0.22795
0.150916 0.246058
0.168702 0.264472
0.188586 0.282899
0.210812 0.300986
0.235658 0.318304
0.263433 0.334342
0.294481 0.348549
0.329188 0.360328
0.367986 0.369066
0.411356 0.374196
0.459838 0.375267
0.514034 0.371901
0.574618 0.363889
0.642342 0.351394
0.718048 0.334807
0.802677 0.314783
0.897279 0.292136
1.00303 0.267842
1.12125 0.242813
1.2534 0.218002
1.40112 0.193995
1.56626 0.171283
1.75086 0.150154
1.95721 0.130675
2.18788 0.112885
2.44575 0.0968216
2.734 0.0824009
3.05623 0.069545
3.41643 0.058172
3.81909 0.0482072
4.26921 0.0394979
4.77237 0.031952
5.33484 0.0254684
5.9636 0.0199485
6.66646 0.0153054
7.45217 0.0114709
8.33047 0.00835465
9.3123 0.00589601
10.4098 0.00401707
11.6367 0.00263121
13.0082 0.00165356
14.5414 0.000995144
16.2552 0.000574469
18.171 0.000319537
20.3126 0.00017302
22.7067 9.28416e-05
25.3829 5.05689e-05
28.3745 2.87097e-05
