#Energy(keV) Pol.Frac(%) Pol.Angle(degree)
0.0317187 2.35363 89.865
0.035457 2.35143 89.8671
0.0396359 2.34905 89.8694
0.0443074 2.34627 89.8721
0.0495294 2.34316 89.8751
0.0553669 2.33973 89.8784
0.0618924 2.33579 89.8823
0.069187 2.33139 89.8867
0.0773413 2.32632 89.8917
0.0864567 2.32063 89.8974
0.0966464 2.31415 89.904
0.108037 2.30674 89.9116
0.12077 2.29837 89.9204
0.135004 2.28876 89.9306
0.150916 2.27778 89.9425
0.168702 2.26517 89.9564
0.188586 2.25065 89.9729
0.210812 2.23401 89.9923
0.235658 2.21471 90.0156
0.263433 2.19234 90.0436
0.294481 2.16644 90.0776
0.329188 2.13626 90.1192
0.367986 2.10108 90.1707
0.411356 2.05998 90.2351
0.459838 2.01195 90.3166
0.514034 1.95583 90.421
0.574618 1.89044 90.5565
0.642342 1.81423 90.735
0.718048 1.72602 90.9735
0.802677 1.62476 91.2973
0.897279 1.50979 91.7439
1.00303 1.38093 92.3717
1.12125 1.23904 93.2729
1.2534 1.08611 94.5993
1.40112 0.925893 96.6131
1.56626 0.764913 99.7878
1.75086 0.614845 104.985
1.95721 0.497884 113.509
2.18788 0.450635 125.72
2.44575 0.497946 138.085
2.734 0.619226 146.897
3.05623 0.779105 152.374
3.41643 0.95622 155.848
3.81909 1.13997 158.204
4.26921 1.32623 159.946
4.77237 1.51446 161.355
5.33484 1.7066 162.591
5.9636 1.90607 163.744
6.66646 2.11831 164.878
7.45217 2.35434 166.027
8.33047 2.62222 167.2
9.3123 2.93651 168.413
10.4098 3.3184 169.662
11.6367 3.79316 170.937
13.0082 4.3951 172.228
14.5414 5.17853 173.515
16.2552 6.21336 174.773
18.171 7.58288 175.963
20.3126 9.37931 177.04
22.7067 11.629 177.943
25.3829 14.1978 178.615
28.3745 16.7306 179.02
