#XLO XHI SOURCE
0.3 0.31 0
0.31 0.32 0
0.32 0.33 0
0.33 0.34 0
0.34 0.35 0
0.35 0.36 0
0.36 0.37 0
0.37 0.38 0
0.38 0.39 0
0.39 0.4 0
0.4 0.41 0
0.41 0.42 0
0.42 0.43 1.58223e-23
0.43 0.44 3.62723e-22
0.44 0.45 6.2131e-21
0.45 0.46 8.43945e-20
0.46 0.47 9.30696e-19
0.47 0.48 8.50697e-18
0.48 0.49 6.56317e-17
0.49 0.5 4.34299e-16
0.5 0.51 2.50022e-15
0.51 0.52 1.26812e-14
0.52 0.53 5.73088e-14
0.53 0.54 2.14488e-14
0.54 0.55 5.24769e-20
0.55 0.56 3.57208e-19
0.56 0.57 2.15121e-18
0.57 0.58 1.15743e-17
0.58 0.59 5.6129e-17
0.59 0.6 2.47306e-16
0.6 0.61 9.9718e-16
0.61 0.62 3.70397e-15
0.62 0.63 1.27504e-14
0.63 0.64 4.08992e-14
0.64 0.65 1.2286e-13
0.65 0.66 3.47219e-13
0.66 0.67 9.27068e-13
0.67 0.68 2.34749e-12
0.68 0.69 5.65741e-12
0.69 0.7 1.30188e-11
0.7 0.71 1.83421e-11
0.71 0.72 7.1679e-12
0.72 0.73 1.61644e-11
0.73 0.74 3.4722e-11
0.74 0.75 7.12889e-11
0.75 0.76 1.40339e-10
0.76 0.77 2.65666e-10
0.77 0.78 4.84903e-10
0.78 0.79 8.55474e-10
0.79 0.8 1.46211e-09
0.8 0.81 2.42596e-09
0.81 0.82 3.91529e-09
0.82 0.83 6.15741e-09
0.83 0.84 9.45168e-09
0.84 0.85 1.41829e-08
0.85 0.86 2.08347e-08
0.86 0.87 2.10242e-08
0.87 0.88 5.90505e-09
0.88 0.89 9.03941e-09
0.89 0.9 1.3598e-08
0.9 0.91 2.01192e-08
0.91 0.92 2.93032e-08
0.92 0.93 4.20458e-08
0.93 0.94 5.94783e-08
0.94 0.95 8.30083e-08
0.95 0.96 1.14366e-07
0.96 0.97 1.5565e-07
0.97 0.98 2.0938e-07
0.98 0.99 2.78539e-07
0.99 1 3.66632e-07
1 1.01 4.77725e-07
1.01 1.02 6.16497e-07
1.02 1.03 7.88272e-07
1.03 1.04 9.99064e-07
1.04 1.05 1.2556e-06
1.05 1.06 1.56535e-06
1.06 1.07 1.93654e-06
1.07 1.08 2.37815e-06
1.08 1.09 2.89991e-06
1.09 1.1 3.51232e-06
1.1 1.11 4.22658e-06
1.11 1.12 5.0546e-06
1.12 1.13 6.00896e-06
1.13 1.14 7.10283e-06
1.14 1.15 8.34994e-06
1.15 1.16 9.7645e-06
1.16 1.17 1.13612e-05
1.17 1.18 1.31549e-05
1.18 1.19 1.5161e-05
1.19 1.2 1.73949e-05
1.2 1.21 1.98721e-05
1.21 1.22 2.26082e-05
1.22 1.23 2.56186e-05
1.23 1.24 2.89185e-05
1.24 1.25 3.25232e-05
1.25 1.26 3.64471e-05
1.26 1.27 4.07048e-05
1.27 1.28 4.53097e-05
1.28 1.29 5.02753e-05
1.29 1.3 5.5614e-05
1.3 1.31 4.81014e-05
1.31 1.32 4.71993e-05
1.32 1.33 5.19897e-05
1.33 1.34 5.71066e-05
1.34 1.35 6.25582e-05
1.35 1.36 6.83523e-05
1.36 1.37 7.44955e-05
1.37 1.38 8.0994e-05
1.38 1.39 8.78532e-05
1.39 1.4 9.50776e-05
1.4 1.41 0.000102671
1.41 1.42 0.000110636
1.42 1.43 0.000118975
1.43 1.44 0.00012769
1.44 1.45 0.00013678
1.45 1.46 0.000146246
1.46 1.47 0.000156086
1.47 1.48 0.0001663
1.48 1.49 0.000176883
1.49 1.5 0.000187833
1.5 1.51 0.000199146
1.51 1.52 0.000210818
1.52 1.53 0.000222843
1.53 1.54 0.000235215
1.54 1.55 0.000247928
1.55 1.56 0.000260975
1.56 1.57 0.000274348
1.57 1.58 0.00028804
1.58 1.59 0.000302042
1.59 1.6 0.000316345
1.6 1.61 0.00033094
1.61 1.62 0.000345818
1.62 1.63 0.000360968
1.63 1.64 0.000376381
1.64 1.65 0.000392047
1.65 1.66 0.000407954
1.66 1.67 0.000424092
1.67 1.68 0.000440451
1.68 1.69 0.000457018
1.69 1.7 0.000473783
1.7 1.71 0.000490736
1.71 1.72 0.000507864
1.72 1.73 0.000525156
1.73 1.74 0.000542601
1.74 1.75 0.000560189
1.75 1.76 0.000577907
1.76 1.77 0.000595746
1.77 1.78 0.000613693
1.78 1.79 0.000631738
1.79 1.8 0.00064987
1.8 1.81 0.000668079
1.81 1.82 0.000686354
1.82 1.83 0.000704685
1.83 1.84 0.000723062
1.84 1.85 0.000592843
1.85 1.86 0.000609306
1.86 1.87 0.000625827
1.87 1.88 0.000642396
1.88 1.89 0.000659004
1.89 1.9 0.000675641
1.9 1.91 0.0006923
1.91 1.92 0.000708973
1.92 1.93 0.00072565
1.93 1.94 0.000742323
1.94 1.95 0.000758985
1.95 1.96 0.000775627
1.96 1.97 0.000792243
1.97 1.98 0.000808825
1.98 1.99 0.000825366
1.99 2 0.000841859
2 2.01 0.000858298
2.01 2.02 0.000874676
2.02 2.03 0.000890987
2.03 2.04 0.000907225
2.04 2.05 0.000923385
2.05 2.06 0.000939461
2.06 2.07 0.000955448
2.07 2.08 0.00097134
2.08 2.09 0.000987134
2.09 2.1 0.00100282
2.1 2.11 0.00101841
2.11 2.12 0.00103388
2.12 2.13 0.00104923
2.13 2.14 0.00106446
2.14 2.15 0.00107958
2.15 2.16 0.00109456
2.16 2.17 0.00110942
2.17 2.18 0.00112414
2.18 2.19 0.00113873
2.19 2.2 0.00115318
2.2 2.21 0.00116749
2.21 2.22 0.00118166
2.22 2.23 0.00119568
2.23 2.24 0.00120956
2.24 2.25 0.0012233
2.25 2.26 0.00123688
2.26 2.27 0.00125032
2.27 2.28 0.0012636
2.28 2.29 0.00127674
2.29 2.3 0.00128972
2.3 2.31 0.00130255
2.31 2.32 0.00131522
2.32 2.33 0.00132774
2.33 2.34 0.00134011
2.34 2.35 0.00135233
2.35 2.36 0.00136439
2.36 2.37 0.0013763
2.37 2.38 0.00138806
2.38 2.39 0.00139966
2.39 2.4 0.00141112
2.4 2.41 0.00142242
2.41 2.42 0.00143357
2.42 2.43 0.00144458
2.43 2.44 0.00145543
2.44 2.45 0.00146614
2.45 2.46 0.00147671
2.46 2.47 0.00148713
2.47 2.48 0.00138288
2.48 2.49 0.00138085
2.49 2.5 0.0013914
2.5 2.51 0.00140179
2.51 2.52 0.00141204
2.52 2.53 0.00142214
2.53 2.54 0.0014321
2.54 2.55 0.00144191
2.55 2.56 0.00145158
2.56 2.57 0.00146111
2.57 2.58 0.00147051
2.58 2.59 0.00147976
2.59 2.6 0.00148888
2.6 2.61 0.00149787
2.61 2.62 0.00150672
2.62 2.63 0.00151545
2.63 2.64 0.00152405
2.64 2.65 0.00153252
2.65 2.66 0.00154087
2.66 2.67 0.00154909
2.67 2.68 0.0015572
2.68 2.69 0.00156519
2.69 2.7 0.00157306
2.7 2.71 0.00158082
2.71 2.72 0.00158847
2.72 2.73 0.00159601
2.73 2.74 0.00160344
2.74 2.75 0.00161077
2.75 2.76 0.001618
2.76 2.77 0.00162513
2.77 2.78 0.00163215
2.78 2.79 0.00163909
2.79 2.8 0.00164593
2.8 2.81 0.00165267
2.81 2.82 0.00165933
2.82 2.83 0.0016657
2.83 2.84 0.00167218
2.84 2.85 0.00167858
2.85 2.86 0.00168489
2.86 2.87 0.00169113
2.87 2.88 0.00169729
2.88 2.89 0.00170337
2.89 2.9 0.00170938
2.9 2.91 0.00171532
2.91 2.92 0.00172119
2.92 2.93 0.001727
2.93 2.94 0.00173274
2.94 2.95 0.00173842
2.95 2.96 0.00174403
2.96 2.97 0.00174959
2.97 2.98 0.00175509
2.98 2.99 0.00176053
2.99 3 0.00176592
3 3.01 0.00177126
3.01 3.02 0.00177654
3.02 3.03 0.00178178
3.03 3.04 0.00178697
3.04 3.05 0.00179211
3.05 3.06 0.00179721
3.06 3.07 0.00180226
3.07 3.08 0.00180727
3.08 3.09 0.00181225
3.09 3.1 0.00181718
3.1 3.11 0.00182207
3.11 3.12 0.00182693
3.12 3.13 0.00183176
3.13 3.14 0.00183655
3.14 3.15 0.0018413
3.15 3.16 0.00184602
3.16 3.17 0.00185072
3.17 3.18 0.00185538
3.18 3.19 0.00186001
3.19 3.2 0.00186462
3.2 3.21 0.00186523
3.21 3.22 0.00184279
3.22 3.23 0.0018473
3.23 3.24 0.00185179
3.24 3.25 0.00185625
3.25 3.26 0.00186068
3.26 3.27 0.00186509
3.27 3.28 0.00186948
3.28 3.29 0.00187384
3.29 3.3 0.00187818
3.3 3.31 0.00188251
3.31 3.32 0.00188681
3.32 3.33 0.00189109
3.33 3.34 0.00189535
3.34 3.35 0.00189959
3.35 3.36 0.00190382
3.36 3.37 0.00190803
3.37 3.38 0.00191221
3.38 3.39 0.00191638
3.39 3.4 0.00192054
3.4 3.41 0.00192468
3.41 3.42 0.0019288
3.42 3.43 0.00193291
3.43 3.44 0.001937
3.44 3.45 0.00194107
3.45 3.46 0.00194513
3.46 3.47 0.00194918
3.47 3.48 0.00195321
3.48 3.49 0.00195722
3.49 3.5 0.00196122
3.5 3.51 0.00196521
3.51 3.52 0.00196918
3.52 3.53 0.00197314
3.53 3.54 0.00197709
3.54 3.55 0.00198102
3.55 3.56 0.00198493
3.56 3.57 0.00198884
3.57 3.58 0.00199272
3.58 3.59 0.0019966
3.59 3.6 0.00200046
3.6 3.61 0.00200431
3.61 3.62 0.00200814
3.62 3.63 0.00201196
3.63 3.64 0.00201576
3.64 3.65 0.00201955
3.65 3.66 0.00202333
3.66 3.67 0.00202709
3.67 3.68 0.00203083
3.68 3.69 0.00203456
3.69 3.7 0.00203828
3.7 3.71 0.00204198
3.71 3.72 0.00204567
3.72 3.73 0.00204934
3.73 3.74 0.00205299
3.74 3.75 0.00205663
3.75 3.76 0.00206026
3.76 3.77 0.00206387
3.77 3.78 0.00206746
3.78 3.79 0.00207103
3.79 3.8 0.00207459
3.8 3.81 0.00207813
3.81 3.82 0.00208166
3.82 3.83 0.00208516
3.83 3.84 0.00208865
3.84 3.85 0.00209213
3.85 3.86 0.00209558
3.86 3.87 0.00209902
3.87 3.88 0.00210243
3.88 3.89 0.00210583
3.89 3.9 0.00210921
3.9 3.91 0.00211257
3.91 3.92 0.00211592
3.92 3.93 0.00211924
3.93 3.94 0.00212254
3.94 3.95 0.00212583
3.95 3.96 0.00212909
3.96 3.97 0.00213233
3.97 3.98 0.00213556
3.98 3.99 0.00213876
3.99 4 0.00214194
4 4.01 0.0021451
4.01 4.02 0.00214823
4.02 4.03 0.00215135
4.03 4.04 0.00215091
4.04 4.05 0.00212877
4.05 4.06 0.00213203
4.06 4.07 0.00213527
4.07 4.08 0.00213847
4.08 4.09 0.00214166
4.09 4.1 0.00214482
4.1 4.11 0.00214796
4.11 4.12 0.00215107
4.12 4.13 0.00215415
4.13 4.14 0.00215722
4.14 4.15 0.00216025
4.15 4.16 0.00216326
4.16 4.17 0.00216625
4.17 4.18 0.00216921
4.18 4.19 0.00217214
4.19 4.2 0.00217505
4.2 4.21 0.00217793
4.21 4.22 0.00218079
4.22 4.23 0.00218362
4.23 4.24 0.00218642
4.24 4.25 0.0021892
4.25 4.26 0.00219195
4.26 4.27 0.00219467
4.27 4.28 0.00219737
4.28 4.29 0.00220004
4.29 4.3 0.00220268
4.3 4.31 0.00220529
4.31 4.32 0.00220788
4.32 4.33 0.00221044
4.33 4.34 0.00221297
4.34 4.35 0.00221548
4.35 4.36 0.00221795
4.36 4.37 0.0022204
4.37 4.38 0.00222283
4.38 4.39 0.00222522
4.39 4.4 0.00222759
4.4 4.41 0.00222993
4.41 4.42 0.00223223
4.42 4.43 0.00223452
4.43 4.44 0.00223677
4.44 4.45 0.002239
4.45 4.46 0.00224119
4.46 4.47 0.00224336
4.47 4.48 0.0022455
4.48 4.49 0.00224762
4.49 4.5 0.0022497
4.5 4.51 0.00225176
4.51 4.52 0.00225378
4.52 4.53 0.00225578
4.53 4.54 0.00225775
4.54 4.55 0.00225969
4.55 4.56 0.00226161
4.56 4.57 0.00226349
4.57 4.58 0.00226535
4.58 4.59 0.00226718
4.59 4.6 0.00226898
4.6 4.61 0.00227075
4.61 4.62 0.00227249
4.62 4.63 0.00227421
4.63 4.64 0.00227589
