#XLO XHI SOURCE
0.3 0.31 0
0.31 0.32 0
0.32 0.33 0
0.33 0.34 0
0.34 0.35 0
0.35 0.36 0
0.36 0.37 0
0.37 0.38 0
0.38 0.39 0
0.39 0.4 0
0.4 0.41 0
0.41 0.42 0
0.42 0.43 1.94896e-23
0.43 0.44 4.20004e-22
0.44 0.45 6.78582e-21
0.45 0.46 8.74229e-20
0.46 0.47 9.18918e-19
0.47 0.48 8.04116e-18
0.48 0.49 5.96277e-17
0.49 0.5 3.80594e-16
0.5 0.51 2.12021e-15
0.51 0.52 1.04364e-14
0.52 0.53 4.58919e-14
0.53 0.54 1.71547e-14
0.54 0.55 6.01795e-20
0.55 0.56 3.94408e-19
0.56 0.57 2.29344e-18
0.57 0.58 1.19455e-17
0.58 0.59 5.62141e-17
0.59 0.6 2.40875e-16
0.6 0.61 9.46469e-16
0.61 0.62 3.43231e-15
0.62 0.63 1.15551e-14
0.63 0.64 3.63071e-14
0.64 0.65 1.06992e-13
0.65 0.66 2.97032e-13
0.66 0.67 7.80046e-13
0.67 0.68 1.94507e-12
0.68 0.69 4.62114e-12
0.69 0.7 1.04941e-11
0.7 0.71 1.47167e-11
0.71 0.72 5.94589e-12
0.72 0.73 1.32353e-11
0.73 0.74 2.80933e-11
0.74 0.75 5.70532e-11
0.75 0.76 1.112e-10
0.76 0.77 2.08598e-10
0.77 0.78 3.77594e-10
0.78 0.79 6.6115e-10
0.79 0.8 1.12227e-09
0.8 0.81 1.85059e-09
0.81 0.82 2.97001e-09
0.82 0.83 4.64736e-09
0.83 0.84 7.10163e-09
0.84 0.85 1.06137e-08
0.85 0.86 1.5536e-08
0.86 0.87 1.57018e-08
0.87 0.88 4.59507e-09
0.88 0.89 7.00059e-09
0.89 0.9 1.04846e-08
0.9 0.91 1.545e-08
0.91 0.92 2.24187e-08
0.92 0.93 3.20577e-08
0.93 0.94 4.52076e-08
0.94 0.95 6.29126e-08
0.95 0.96 8.64549e-08
0.96 0.97 1.1739e-07
0.97 0.98 1.57581e-07
0.98 0.99 2.09238e-07
0.99 1 2.74957e-07
1 1.01 3.57749e-07
1.01 1.02 4.61085e-07
1.02 1.03 5.88917e-07
1.03 1.04 7.45718e-07
1.04 1.05 9.36499e-07
1.05 1.06 1.16684e-06
1.06 1.07 1.44288e-06
1.07 1.08 1.77136e-06
1.08 1.09 2.15962e-06
1.09 1.1 2.61557e-06
1.1 1.11 3.1477e-06
1.11 1.12 3.76507e-06
1.12 1.13 4.47728e-06
1.13 1.14 5.29444e-06
1.14 1.15 6.22713e-06
1.15 1.16 7.28638e-06
1.16 1.17 8.48361e-06
1.17 1.18 9.83058e-06
1.18 1.19 1.13393e-05
1.19 1.2 1.30222e-05
1.2 1.21 1.48915e-05
1.21 1.22 1.69599e-05
1.22 1.23 1.92399e-05
1.23 1.24 2.17443e-05
1.24 1.25 2.44854e-05
1.25 1.26 2.74757e-05
1.26 1.27 3.07273e-05
1.27 1.28 3.42522e-05
1.28 1.29 3.80618e-05
1.29 1.3 4.21675e-05
1.3 1.31 3.674e-05
1.31 1.32 3.62193e-05
1.32 1.33 3.99568e-05
1.33 1.34 4.39588e-05
1.34 1.35 4.82334e-05
1.35 1.36 5.27881e-05
1.36 1.37 5.76301e-05
1.37 1.38 6.27659e-05
1.38 1.39 6.82014e-05
1.39 1.4 7.39423e-05
1.4 1.41 7.99933e-05
1.41 1.42 8.63589e-05
1.42 1.43 9.30428e-05
1.43 1.44 0.000100048
1.44 1.45 0.000107377
1.45 1.46 0.000115033
1.46 1.47 0.000123015
1.47 1.48 0.000131326
1.48 1.49 0.000139965
1.49 1.5 0.000148932
1.5 1.51 0.000158226
1.51 1.52 0.000167846
1.52 1.53 0.000177789
1.53 1.54 0.000188054
1.54 1.55 0.000198637
1.55 1.56 0.000209535
1.56 1.57 0.000220743
1.57 1.58 0.000232258
1.58 1.59 0.000244075
1.59 1.6 0.000256189
1.6 1.61 0.000268594
1.61 1.62 0.000281284
1.62 1.63 0.000294253
1.63 1.64 0.000307495
1.64 1.65 0.000321004
1.65 1.66 0.000334771
1.66 1.67 0.000348791
1.67 1.68 0.000363055
1.68 1.69 0.000377556
1.69 1.7 0.000392286
1.7 1.71 0.000407238
1.71 1.72 0.000422403
1.72 1.73 0.000437773
1.73 1.74 0.00045334
1.74 1.75 0.000469095
1.75 1.76 0.000485032
1.76 1.77 0.00050114
1.77 1.78 0.000517412
1.78 1.79 0.000533839
1.79 1.8 0.000550413
1.8 1.81 0.000567127
1.81 1.82 0.00058397
1.82 1.83 0.000600935
1.83 1.84 0.000618014
1.84 1.85 0.00051069
1.85 1.86 0.000526035
1.86 1.87 0.000541495
1.87 1.88 0.000557064
1.88 1.89 0.000572734
1.89 1.9 0.000588497
1.9 1.91 0.000604346
1.91 1.92 0.000620274
1.92 1.93 0.000636275
1.93 1.94 0.00065234
1.94 1.95 0.000668463
1.95 1.96 0.000684638
1.96 1.97 0.000700856
1.97 1.98 0.000717113
1.98 1.99 0.000733401
1.99 2 0.000749714
2 2.01 0.000766046
2.01 2.02 0.000782391
2.02 2.03 0.000798743
2.03 2.04 0.000815096
2.04 2.05 0.000831445
2.05 2.06 0.000847784
2.06 2.07 0.000864108
2.07 2.08 0.000880411
2.08 2.09 0.000896689
2.09 2.1 0.000912937
2.1 2.11 0.00092915
2.11 2.12 0.000945324
2.12 2.13 0.000961453
2.13 2.14 0.000977534
2.14 2.15 0.000993563
2.15 2.16 0.00100953
2.16 2.17 0.00102545
2.17 2.18 0.00104129
2.18 2.19 0.00105707
2.19 2.2 0.00107278
2.2 2.21 0.00108842
2.21 2.22 0.00110397
2.22 2.23 0.00111945
2.23 2.24 0.00113484
2.24 2.25 0.00115014
2.25 2.26 0.00116536
2.26 2.27 0.00118048
2.27 2.28 0.00119551
2.28 2.29 0.00121045
2.29 2.3 0.00122528
2.3 2.31 0.00124002
2.31 2.32 0.00125465
2.32 2.33 0.00126917
2.33 2.34 0.00128359
2.34 2.35 0.0012979
2.35 2.36 0.0013121
2.36 2.37 0.00132619
2.37 2.38 0.00134017
2.38 2.39 0.00135403
2.39 2.4 0.00136778
2.4 2.41 0.00138141
2.41 2.42 0.00139493
2.42 2.43 0.00140832
2.43 2.44 0.0014216
2.44 2.45 0.00143476
2.45 2.46 0.00144779
2.46 2.47 0.00146071
2.47 2.48 0.00136486
2.48 2.49 0.00136588
2.49 2.5 0.00137886
2.5 2.51 0.00139171
2.51 2.52 0.00140443
2.52 2.53 0.00141703
2.53 2.54 0.0014295
2.54 2.55 0.00144185
2.55 2.56 0.00145407
2.56 2.57 0.00146616
2.57 2.58 0.00147813
2.58 2.59 0.00148996
2.59 2.6 0.00150167
2.6 2.61 0.00151326
2.61 2.62 0.00152471
2.62 2.63 0.00153604
2.63 2.64 0.00154724
2.64 2.65 0.00155831
2.65 2.66 0.00156925
2.66 2.67 0.00158007
2.67 2.68 0.00159076
2.68 2.69 0.00160132
2.69 2.7 0.00161176
2.7 2.71 0.00162207
2.71 2.72 0.00163225
2.72 2.73 0.00164231
2.73 2.74 0.00165224
2.74 2.75 0.00166205
2.75 2.76 0.00167174
2.76 2.77 0.0016813
2.77 2.78 0.00169075
2.78 2.79 0.00170007
2.79 2.8 0.00170926
2.8 2.81 0.00171834
2.81 2.82 0.0017273
2.82 2.83 0.00173614
2.83 2.84 0.00174486
2.84 2.85 0.00175346
2.85 2.86 0.00176195
2.86 2.87 0.00177032
2.87 2.88 0.00177857
2.88 2.89 0.00178671
2.89 2.9 0.00179474
2.9 2.91 0.00180265
2.91 2.92 0.00181045
2.92 2.93 0.00181814
2.93 2.94 0.00182572
2.94 2.95 0.0018332
2.95 2.96 0.00184056
2.96 2.97 0.00184781
2.97 2.98 0.00185496
2.98 2.99 0.001862
2.99 3 0.00186894
3 3.01 0.00187578
3.01 3.02 0.00188251
3.02 3.03 0.00188914
3.03 3.04 0.00189566
3.04 3.05 0.00190209
3.05 3.06 0.00190842
3.06 3.07 0.00191465
3.07 3.08 0.00192078
3.08 3.09 0.00192682
3.09 3.1 0.00193276
3.1 3.11 0.00193861
3.11 3.12 0.00194436
3.12 3.13 0.00195002
3.13 3.14 0.00195559
3.14 3.15 0.00196106
3.15 3.16 0.00196645
3.16 3.17 0.00197175
3.17 3.18 0.00197696
3.18 3.19 0.00198208
3.19 3.2 0.00198712
3.2 3.21 0.00199207
3.21 3.22 0.00197344
3.22 3.23 0.00197838
3.23 3.24 0.00198324
3.24 3.25 0.00198802
3.25 3.26 0.00199272
3.26 3.27 0.00199734
3.27 3.28 0.00200188
3.28 3.29 0.00200634
3.29 3.3 0.00201072
3.3 3.31 0.00201502
3.31 3.32 0.00201925
3.32 3.33 0.00202341
3.33 3.34 0.00202749
3.34 3.35 0.00203149
3.35 3.36 0.00203542
3.36 3.37 0.00203928
3.37 3.38 0.00204307
3.38 3.39 0.00204679
3.39 3.4 0.00205044
3.4 3.41 0.00205402
3.41 3.42 0.00205753
3.42 3.43 0.00206098
3.43 3.44 0.00206436
3.44 3.45 0.00206767
3.45 3.46 0.00207092
3.46 3.47 0.0020741
3.47 3.48 0.00207722
3.48 3.49 0.00208028
3.49 3.5 0.00208328
3.5 3.51 0.00208621
3.51 3.52 0.00208909
3.52 3.53 0.0020919
3.53 3.54 0.00209466
3.54 3.55 0.00209736
3.55 3.56 0.0021
3.56 3.57 0.00210259
3.57 3.58 0.00210511
3.58 3.59 0.00210759
3.59 3.6 0.00211001
3.6 3.61 0.00211237
3.61 3.62 0.00211468
3.62 3.63 0.00211694
3.63 3.64 0.00211915
3.64 3.65 0.0021213
3.65 3.66 0.00212341
3.66 3.67 0.00212546
3.67 3.68 0.00212747
3.68 3.69 0.00212942
3.69 3.7 0.00213133
3.7 3.71 0.00213319
3.71 3.72 0.00213501
3.72 3.73 0.00213677
3.73 3.74 0.00213849
3.74 3.75 0.00214017
3.75 3.76 0.0021418
3.76 3.77 0.00214339
3.77 3.78 0.00214493
3.78 3.79 0.00214643
3.79 3.8 0.00214789
3.8 3.81 0.00214931
3.81 3.82 0.00215068
3.82 3.83 0.00215202
3.83 3.84 0.00215331
3.84 3.85 0.00215456
3.85 3.86 0.00215578
3.86 3.87 0.00215696
3.87 3.88 0.00215809
3.88 3.89 0.0021592
3.89 3.9 0.00216026
3.9 3.91 0.00216129
3.91 3.92 0.00216228
3.92 3.93 0.00216323
3.93 3.94 0.00216415
3.94 3.95 0.00216503
3.95 3.96 0.00216588
3.96 3.97 0.0021667
3.97 3.98 0.00216748
3.98 3.99 0.00216823
3.99 4 0.00216895
4 4.01 0.00216963
4.01 4.02 0.00217029
4.02 4.03 0.00217091
4.03 4.04 0.00216913
4.04 4.05 0.00216037
4.05 4.06 0.00216119
4.06 4.07 0.00216197
4.07 4.08 0.00216272
4.08 4.09 0.00216344
4.09 4.1 0.00216412
4.1 4.11 0.00216477
4.11 4.12 0.0021654
4.12 4.13 0.00216599
4.13 4.14 0.00216655
4.14 4.15 0.00216708
4.15 4.16 0.00216758
4.16 4.17 0.00216805
4.17 4.18 0.00216849
4.18 4.19 0.00216891
4.19 4.2 0.0021693
4.2 4.21 0.00216965
4.21 4.22 0.00216999
4.22 4.23 0.00217029
4.23 4.24 0.00217057
4.24 4.25 0.00217082
4.25 4.26 0.00217105
4.26 4.27 0.00217125
4.27 4.28 0.00217142
4.28 4.29 0.00217158
4.29 4.3 0.0021717
4.3 4.31 0.0021718
4.31 4.32 0.00217188
4.32 4.33 0.00217194
4.33 4.34 0.00217197
4.34 4.35 0.00217198
4.35 4.36 0.00217197
4.36 4.37 0.00217193
4.37 4.38 0.00217187
4.38 4.39 0.0021718
4.39 4.4 0.00217169
4.4 4.41 0.00217157
4.41 4.42 0.00217143
4.42 4.43 0.00217127
4.43 4.44 0.00217108
4.44 4.45 0.00217088
4.45 4.46 0.00217066
4.46 4.47 0.00217042
4.47 4.48 0.00217016
4.48 4.49 0.00216988
4.49 4.5 0.00216958
4.5 4.51 0.00216927
4.51 4.52 0.00216893
4.52 4.53 0.00216858
4.53 4.54 0.00216821
4.54 4.55 0.00216782
4.55 4.56 0.00216742
4.56 4.57 0.002167
4.57 4.58 0.00216657
4.58 4.59 0.00216611
4.59 4.6 0.00216564
4.6 4.61 0.00216516
4.61 4.62 0.00216466
4.62 4.63 0.00216414
