fSumw[1]=3.49301, x=0.9325
 fSumw[2]=0.813489, x=2.5975
 fSumw[3]=0.313113, x=4.2625
 fSumw[4]=0.169976, x=5.9275
 fSumw[5]=0.11033, x=7.5925
 fSumw[6]=0.080086, x=9.2575
 fSumw[7]=0.0597928, x=10.9225
 fSumw[8]=0.0479343, x=12.5875
 fSumw[9]=0.0387101, x=14.2525
 fSumw[10]=0.0323105, x=15.9175
 fSumw[11]=0.0273736, x=17.5825
 fSumw[12]=0.0235116, x=19.2475
 fSumw[13]=0.0203999, x=20.9125
 fSumw[14]=0.0183763, x=22.5775
 fSumw[15]=0.0162897, x=24.2425
 fSumw[16]=0.0142837, x=25.9075
 fSumw[17]=0.0127101, x=27.5725
 fSumw[18]=0.0114665, x=29.2375
 fSumw[19]=0.0105878, x=30.9025
 fSumw[20]=0.00967721, x=32.5675
 fSumw[21]=0.00908434, x=34.2325
 fSumw[22]=0.00879322, x=35.8975
 fSumw[23]=0.00774408, x=37.5625
 fSumw[24]=0.00690786, x=39.2275
 fSumw[25]=0.00704946, x=40.8925
 fSumw[26]=0.00618519, x=42.5575
 fSumw[27]=0.00619578, x=44.2225
 fSumw[28]=0.00547145, x=45.8875
 fSumw[29]=0.0052481, x=47.5525
 fSumw[30]=0.00488721, x=49.2175
 fSumw[31]=0.0048183, x=50.8825
 fSumw[32]=0.0043489, x=52.5475
 fSumw[33]=0.00390014, x=54.2125
 fSumw[34]=0.00425158, x=55.8775
 fSumw[35]=0.00389619, x=57.5425
 fSumw[36]=0.00325084, x=59.2075
 fSumw[37]=0.00328818, x=60.8725
 fSumw[38]=0.00327282, x=62.5375
 fSumw[39]=0.00302007, x=64.2025
 fSumw[40]=0.00284533, x=65.8675
 fSumw[41]=0.00285072, x=67.5325
 fSumw[42]=0.00267252, x=69.1975
 fSumw[43]=0.0026044, x=70.8625
 fSumw[44]=0.00234522, x=72.5275
 fSumw[45]=0.00243469, x=74.1925
 fSumw[46]=0.0024863, x=75.8575
 fSumw[47]=0.00228152, x=77.5225
 fSumw[48]=0.00224497, x=79.1875
 fSumw[49]=0.00214237, x=80.8525
 fSumw[50]=0.00205599, x=82.5175
 fSumw[51]=0.00199287, x=84.1825
 fSumw[52]=0.00185867, x=85.8475
 fSumw[53]=0.00196198, x=87.5125
 fSumw[54]=0.00168826, x=89.1775
 fSumw[55]=0.00165049, x=90.8425
 fSumw[56]=0.00174531, x=92.5075
 fSumw[57]=0.00157436, x=94.1725
 fSumw[58]=0.00148467, x=95.8375
 fSumw[59]=0.00158892, x=97.5025
 fSumw[60]=0, x=99.1675
 fSumw[61]=0, x=100.832
