fSumw[1]=93.7843, x=-0.975
 fSumw[2]=90.2333, x=-0.925
 fSumw[3]=89.2722, x=-0.875
 fSumw[4]=89.7598, x=-0.825
 fSumw[5]=89.7953, x=-0.775
 fSumw[6]=91.8582, x=-0.725
 fSumw[7]=92.32, x=-0.675
 fSumw[8]=93.2249, x=-0.625
 fSumw[9]=92.4974, x=-0.575
 fSumw[10]=93.5307, x=-0.525
 fSumw[11]=94.0175, x=-0.475
 fSumw[12]=93.006, x=-0.425
 fSumw[13]=96.587, x=-0.375
 fSumw[14]=104.94, x=-0.325
 fSumw[15]=123.023, x=-0.275
 fSumw[16]=160.55, x=-0.225
 fSumw[17]=169.419, x=-0.175
 fSumw[18]=173.188, x=-0.125
 fSumw[19]=174.481, x=-0.075
 fSumw[20]=174.576, x=-0.025
 fSumw[21]=175.235, x=0.025
 fSumw[22]=174.749, x=0.075
 fSumw[23]=174.013, x=0.125
 fSumw[24]=175.321, x=0.175
 fSumw[25]=175.921, x=0.225
 fSumw[26]=175.489, x=0.275
 fSumw[27]=174.416, x=0.325
 fSumw[28]=173.616, x=0.375
 fSumw[29]=175.474, x=0.425
 fSumw[30]=177.286, x=0.475
 fSumw[31]=174.851, x=0.525
 fSumw[32]=172.177, x=0.575
 fSumw[33]=171.96, x=0.625
 fSumw[34]=172.546, x=0.675
 fSumw[35]=174.849, x=0.725
 fSumw[36]=176.369, x=0.775
 fSumw[37]=174.604, x=0.825
 fSumw[38]=174.801, x=0.875
 fSumw[39]=176.527, x=0.925
 fSumw[40]=172.979, x=0.975
 fSumw[41]=172.614, x=1.025
 fSumw[42]=173.891, x=1.075
 fSumw[43]=173.761, x=1.125
 fSumw[44]=176.21, x=1.175
 fSumw[45]=177.33, x=1.225
 fSumw[46]=176.857, x=1.275
 fSumw[47]=175, x=1.325
 fSumw[48]=174.364, x=1.375
 fSumw[49]=172.071, x=1.425
 fSumw[50]=169.74, x=1.475
 fSumw[51]=172.496, x=1.525
 fSumw[52]=176.621, x=1.575
 fSumw[53]=176.604, x=1.625
 fSumw[54]=174.674, x=1.675
 fSumw[55]=176.732, x=1.725
 fSumw[56]=179.231, x=1.775
 fSumw[57]=175.867, x=1.825
 fSumw[58]=173.031, x=1.875
 fSumw[59]=176.088, x=1.925
 fSumw[60]=180.043, x=1.975
