fSumw[1]=1.28732, x=-0.975
 fSumw[2]=1.23898, x=-0.925
 fSumw[3]=1.1819, x=-0.875
 fSumw[4]=1.20855, x=-0.825
 fSumw[5]=1.20605, x=-0.775
 fSumw[6]=1.12262, x=-0.725
 fSumw[7]=1.03116, x=-0.675
 fSumw[8]=0.871533, x=-0.625
 fSumw[9]=0.854438, x=-0.575
 fSumw[10]=0.817705, x=-0.525
 fSumw[11]=0.761661, x=-0.475
 fSumw[12]=0.638255, x=-0.425
 fSumw[13]=0.421046, x=-0.375
 fSumw[14]=0.272762, x=-0.325
 fSumw[15]=0.144071, x=-0.275
 fSumw[16]=0.166939, x=-0.225
 fSumw[17]=0.37858, x=-0.175
 fSumw[18]=0.755716, x=-0.125
 fSumw[19]=1.03582, x=-0.075
 fSumw[20]=1.32783, x=-0.025
 fSumw[21]=1.65534, x=0.025
 fSumw[22]=1.84161, x=0.075
 fSumw[23]=2.0828, x=0.125
 fSumw[24]=2.38163, x=0.175
 fSumw[25]=2.65422, x=0.225
 fSumw[26]=2.85804, x=0.275
 fSumw[27]=3.03886, x=0.325
 fSumw[28]=3.09551, x=0.375
 fSumw[29]=3.24597, x=0.425
 fSumw[30]=3.40008, x=0.475
 fSumw[31]=3.45846, x=0.525
 fSumw[32]=3.56066, x=0.575
 fSumw[33]=3.404, x=0.625
 fSumw[34]=3.6684, x=0.675
 fSumw[35]=3.79797, x=0.725
 fSumw[36]=3.56394, x=0.775
 fSumw[37]=3.47902, x=0.825
 fSumw[38]=3.76772, x=0.875
 fSumw[39]=3.93122, x=0.925
 fSumw[40]=4.05187, x=0.975
 fSumw[41]=4.33448, x=1.025
 fSumw[42]=4.17711, x=1.075
 fSumw[43]=3.99768, x=1.125
 fSumw[44]=4.14748, x=1.175
 fSumw[45]=4.4204, x=1.225
 fSumw[46]=4.51782, x=1.275
 fSumw[47]=3.58978, x=1.325
 fSumw[48]=3.00514, x=1.375
 fSumw[49]=3.69362, x=1.425
 fSumw[50]=3.99339, x=1.475
 fSumw[51]=3.81571, x=1.525
 fSumw[52]=3.0239, x=1.575
 fSumw[53]=2.35131, x=1.625
 fSumw[54]=2.74757, x=1.675
 fSumw[55]=3.18469, x=1.725
 fSumw[56]=4.22792, x=1.775
 fSumw[57]=5.10747, x=1.825
 fSumw[58]=5.57445, x=1.875
 fSumw[59]=4.62841, x=1.925
 fSumw[60]=3.36199, x=1.975
