#Energy Flux
0.9325 3.78702
2.5975 0.659394
4.2625 0.246395
5.9275 0.135037
7.5925 0.0882932
9.2575 0.0638627
10.9225 0.0483481
12.5875 0.0386063
14.2525 0.0318157
15.9175 0.0269451
17.5825 0.0216091
19.2475 0.0187621
20.9125 0.0170593
22.5775 0.0142995
24.2425 0.0128808
25.9075 0.0115573
27.5725 0.0106087
29.2375 0.00929943
30.9025 0.00835035
32.5675 0.00766484
34.2325 0.00728896
35.8975 0.00655606
37.5625 0.00618232
39.2275 0.0059322
40.8925 0.0057216
42.5575 0.0049726
44.2225 0.00477142
45.8875 0.00465909
47.5525 0.00416014
49.2175 0.00398415
50.8825 0.00370001
52.5475 0.00334366
54.2125 0.00330222
55.8775 0.00323067
57.5425 0.00316187
59.2075 0.00306087
60.8725 0.00270613
62.5375 0.00258408
64.2025 0.00239917
65.8675 0.00230805
67.5325 0.00222807
69.1975 0.00243087
70.8625 0.00220384
72.5275 0.00217645
74.1925 0.00204376
75.8575 0.00181767
77.5225 0.00198052
79.1875 0.00203565
80.8525 0.00168648
82.5175 0.0015186
84.1825 0.00154087
85.8475 0.0015174
87.5125 0.00149315
89.1775 0.00150912
90.8425 0.0014547
92.5075 0.00142263
94.1725 0.00125843
95.8375 0.00129963
97.5025 0.00109308
