fSumw[1]=3.16364, x=0.9325
 fSumw[2]=0.956611, x=2.5975
 fSumw[3]=0.411652, x=4.2625
 fSumw[4]=0.219298, x=5.9275
 fSumw[5]=0.136008, x=7.5925
 fSumw[6]=0.0927888, x=9.2575
 fSumw[7]=0.0717716, x=10.9225
 fSumw[8]=0.0550908, x=12.5875
 fSumw[9]=0.0445469, x=14.2525
 fSumw[10]=0.0364427, x=15.9175
 fSumw[11]=0.0319837, x=17.5825
 fSumw[12]=0.0273454, x=19.2475
 fSumw[13]=0.0245161, x=20.9125
 fSumw[14]=0.0205191, x=22.5775
 fSumw[15]=0.0180693, x=24.2425
 fSumw[16]=0.0169803, x=25.9075
 fSumw[17]=0.0146661, x=27.5725
 fSumw[18]=0.0136423, x=29.2375
 fSumw[19]=0.0126779, x=30.9025
 fSumw[20]=0.0118504, x=32.5675
 fSumw[21]=0.0107246, x=34.2325
 fSumw[22]=0.0100547, x=35.8975
 fSumw[23]=0.00905451, x=37.5625
 fSumw[24]=0.00833054, x=39.2275
 fSumw[25]=0.00798166, x=40.8925
 fSumw[26]=0.00738125, x=42.5575
 fSumw[27]=0.00718529, x=44.2225
 fSumw[28]=0.00614237, x=45.8875
 fSumw[29]=0.00639886, x=47.5525
 fSumw[30]=0.00594347, x=49.2175
 fSumw[31]=0.00571062, x=50.8825
 fSumw[32]=0.00518724, x=52.5475
 fSumw[33]=0.00480069, x=54.2125
 fSumw[34]=0.00447615, x=55.8775
 fSumw[35]=0.00434252, x=57.5425
 fSumw[36]=0.00413416, x=59.2075
 fSumw[37]=0.00414942, x=60.8725
 fSumw[38]=0.00397605, x=62.5375
 fSumw[39]=0.00362121, x=64.2025
 fSumw[40]=0.00354712, x=65.8675
 fSumw[41]=0.00320944, x=67.5325
 fSumw[42]=0.00309825, x=69.1975
 fSumw[43]=0.00326998, x=70.8625
 fSumw[44]=0.00334413, x=72.5275
 fSumw[45]=0.00292525, x=74.1925
 fSumw[46]=0.00282886, x=75.8575
 fSumw[47]=0.00296433, x=77.5225
 fSumw[48]=0.00258408, x=79.1875
 fSumw[49]=0.00275547, x=80.8525
 fSumw[50]=0.0025261, x=82.5175
 fSumw[51]=0.00227817, x=84.1825
 fSumw[52]=0.00225874, x=85.8475
 fSumw[53]=0.00204729, x=87.5125
 fSumw[54]=0.00197376, x=89.1775
 fSumw[55]=0.00209847, x=90.8425
 fSumw[56]=0.00219251, x=92.5075
 fSumw[57]=0.00198561, x=94.1725
 fSumw[58]=0.00198747, x=95.8375
 fSumw[59]=0.00188728, x=97.5025
 fSumw[60]=0, x=99.1675
 fSumw[61]=0, x=100.832
