fSumw[1]=85.3969, x=-0.975
 fSumw[2]=86.1803, x=-0.925
 fSumw[3]=93.0349, x=-0.875
 fSumw[4]=91.8599, x=-0.825
 fSumw[5]=88.4625, x=-0.775
 fSumw[6]=90.5341, x=-0.725
 fSumw[7]=90.5673, x=-0.675
 fSumw[8]=87.9408, x=-0.625
 fSumw[9]=86.7041, x=-0.575
 fSumw[10]=87.9743, x=-0.525
 fSumw[11]=91.4511, x=-0.475
 fSumw[12]=92.7195, x=-0.425
 fSumw[13]=88.9372, x=-0.375
 fSumw[14]=86.672, x=-0.325
 fSumw[15]=86.9622, x=-0.275
 fSumw[16]=87.2004, x=-0.225
 fSumw[17]=87.4518, x=-0.175
 fSumw[18]=83.8578, x=-0.125
 fSumw[19]=85.2289, x=-0.075
 fSumw[20]=93.5896, x=-0.025
 fSumw[21]=91.2308, x=0.025
 fSumw[22]=152.22, x=0.075
 fSumw[23]=158.144, x=0.125
 fSumw[24]=183.832, x=0.175
 fSumw[25]=183.337, x=0.225
 fSumw[26]=177.962, x=0.275
 fSumw[27]=175.807, x=0.325
 fSumw[28]=178.608, x=0.375
 fSumw[29]=180.889, x=0.425
 fSumw[30]=179.936, x=0.475
 fSumw[31]=180.38, x=0.525
 fSumw[32]=182.525, x=0.575
 fSumw[33]=181.882, x=0.625
 fSumw[34]=180.245, x=0.675
 fSumw[35]=181.637, x=0.725
 fSumw[36]=182.066, x=0.775
 fSumw[37]=182.143, x=0.825
 fSumw[38]=182.584, x=0.875
 fSumw[39]=183.458, x=0.925
 fSumw[40]=184.554, x=0.975
 fSumw[41]=183.601, x=1.025
 fSumw[42]=182.617, x=1.075
 fSumw[43]=184.222, x=1.125
 fSumw[44]=184.618, x=1.175
 fSumw[45]=182.892, x=1.225
 fSumw[46]=182.679, x=1.275
 fSumw[47]=181.546, x=1.325
 fSumw[48]=182.602, x=1.375
 fSumw[49]=182.731, x=1.425
 fSumw[50]=181.011, x=1.475
 fSumw[51]=180.315, x=1.525
 fSumw[52]=181.597, x=1.575
 fSumw[53]=183.411, x=1.625
 fSumw[54]=183.863, x=1.675
 fSumw[55]=185.445, x=1.725
 fSumw[56]=185.759, x=1.775
 fSumw[57]=186.659, x=1.825
 fSumw[58]=186.885, x=1.875
 fSumw[59]=184.33, x=1.925
 fSumw[60]=183.219, x=1.975
