fSumw[1]=2.28913, x=-0.975
 fSumw[2]=2.20546, x=-0.925
 fSumw[3]=1.74324, x=-0.875
 fSumw[4]=1.73779, x=-0.825
 fSumw[5]=2.05951, x=-0.775
 fSumw[6]=2.19473, x=-0.725
 fSumw[7]=2.08134, x=-0.675
 fSumw[8]=1.89241, x=-0.625
 fSumw[9]=1.76522, x=-0.575
 fSumw[10]=1.84019, x=-0.525
 fSumw[11]=1.91584, x=-0.475
 fSumw[12]=1.83915, x=-0.425
 fSumw[13]=1.60499, x=-0.375
 fSumw[14]=1.3873, x=-0.325
 fSumw[15]=1.29878, x=-0.275
 fSumw[16]=1.27246, x=-0.225
 fSumw[17]=1.11839, x=-0.175
 fSumw[18]=0.971515, x=-0.125
 fSumw[19]=0.773484, x=-0.075
 fSumw[20]=0.470667, x=-0.025
 fSumw[21]=0.162133, x=0.025
 fSumw[22]=0.101133, x=0.075
 fSumw[23]=0.196811, x=0.125
 fSumw[24]=0.341394, x=0.175
 fSumw[25]=0.534158, x=0.225
 fSumw[26]=0.774047, x=0.275
 fSumw[27]=1.16514, x=0.325
 fSumw[28]=1.33602, x=0.375
 fSumw[29]=1.73969, x=0.425
 fSumw[30]=2.31355, x=0.475
 fSumw[31]=2.72002, x=0.525
 fSumw[32]=2.9766, x=0.575
 fSumw[33]=3.14772, x=0.625
 fSumw[34]=3.41716, x=0.675
 fSumw[35]=4.05031, x=0.725
 fSumw[36]=4.83326, x=0.775
 fSumw[37]=5.40364, x=0.825
 fSumw[38]=5.63177, x=0.875
 fSumw[39]=5.52381, x=0.925
 fSumw[40]=5.58859, x=0.975
 fSumw[41]=5.70228, x=1.025
 fSumw[42]=5.81744, x=1.075
 fSumw[43]=6.14722, x=1.125
 fSumw[44]=5.92761, x=1.175
 fSumw[45]=5.97117, x=1.225
 fSumw[46]=6.34171, x=1.275
 fSumw[47]=6.45655, x=1.325
 fSumw[48]=6.95309, x=1.375
 fSumw[49]=7.43236, x=1.425
 fSumw[50]=6.57967, x=1.475
 fSumw[51]=6.63441, x=1.525
 fSumw[52]=7.56322, x=1.575
 fSumw[53]=7.67521, x=1.625
 fSumw[54]=7.11679, x=1.675
 fSumw[55]=6.70853, x=1.725
 fSumw[56]=7.74961, x=1.775
 fSumw[57]=7.62613, x=1.825
 fSumw[58]=7.0852, x=1.875
 fSumw[59]=7.84473, x=1.925
 fSumw[60]=8.33868, x=1.975
