#Energy Flux
0.9325 3.61969
2.5975 0.77543
4.2625 0.279557
5.9275 0.145886
7.5925 0.0932212
9.2575 0.0662106
10.9225 0.0497734
12.5875 0.0384277
14.2525 0.0318922
15.9175 0.0265331
17.5825 0.02196
19.2475 0.0194777
20.9125 0.0165338
22.5775 0.0147212
24.2425 0.0138701
25.9075 0.0110245
27.5725 0.0105796
29.2375 0.00987797
30.9025 0.00875355
32.5675 0.00798881
34.2325 0.00683051
35.8975 0.0066434
37.5625 0.00661727
39.2275 0.00562321
40.8925 0.00554843
42.5575 0.0055973
44.2225 0.00480541
45.8875 0.00443364
47.5525 0.00408445
49.2175 0.00412607
50.8825 0.00377365
52.5475 0.00328995
54.2125 0.00316704
55.8775 0.00323115
57.5425 0.00328595
59.2075 0.00288369
60.8725 0.00304351
62.5375 0.00228959
64.2025 0.00281775
65.8675 0.00240462
67.5325 0.00235003
69.1975 0.0026385
70.8625 0.00215888
72.5275 0.00213563
74.1925 0.00214869
75.8575 0.00218741
77.5225 0.00220808
79.1875 0.00189352
80.8525 0.00202439
82.5175 0.00156163
84.1825 0.00176924
85.8475 0.0015458
87.5125 0.00158347
89.1775 0.00171349
90.8425 0.00143636
92.5075 0.00125243
94.1725 0.00131255
95.8375 0.00131634
97.5025 0.00131018
