#Energy Flux
0.9325 3.16364
2.5975 0.956611
4.2625 0.411652
5.9275 0.219298
7.5925 0.136008
9.2575 0.0927888
10.9225 0.0717716
12.5875 0.0550908
14.2525 0.0445469
15.9175 0.0364427
17.5825 0.0319837
19.2475 0.0273454
20.9125 0.0245161
22.5775 0.0205191
24.2425 0.0180693
25.9075 0.0169803
27.5725 0.0146661
29.2375 0.0136423
30.9025 0.0126779
32.5675 0.0118504
34.2325 0.0107246
35.8975 0.0100547
37.5625 0.00905451
39.2275 0.00833054
40.8925 0.00798166
42.5575 0.00738125
44.2225 0.00718529
45.8875 0.00614237
47.5525 0.00639886
49.2175 0.00594347
50.8825 0.00571062
52.5475 0.00518724
54.2125 0.00480069
55.8775 0.00447615
57.5425 0.00434252
59.2075 0.00413416
60.8725 0.00414942
62.5375 0.00397605
64.2025 0.00362121
65.8675 0.00354712
67.5325 0.00320944
69.1975 0.00309825
70.8625 0.00326998
72.5275 0.00334413
74.1925 0.00292525
75.8575 0.00282886
77.5225 0.00296433
79.1875 0.00258408
80.8525 0.00275547
82.5175 0.0025261
84.1825 0.00227817
85.8475 0.00225874
87.5125 0.00204729
89.1775 0.00197376
90.8425 0.00209847
92.5075 0.00219251
94.1725 0.00198561
95.8375 0.00198747
97.5025 0.00188728
99.1675 0
100.832 0
