#Energy,Transparency
#[keV],[]
1.00,0.003764
1.10,0.014962
1.20,0.039117
1.30,0.078064
1.40,0.129837
1.50,0.190596
1.60,0.256014
1.70,0.322323
1.80,0.386751
1.90,0.447324
2.00,0.503224
2.10,0.554090
2.20,0.599858
2.30,0.640754
2.40,0.677258
2.50,0.709580
2.60,0.738304
2.70,0.763798
2.80,0.786380
2.90,0.806416
3.00,0.824214
3.10,0.840070
3.20,0.854174
3.30,0.866830
3.40,0.878128
3.50,0.888176
3.60,0.897260
3.70,0.905430
3.80,0.912847
3.90,0.919508
4.00,0.925533
4.10,0.930994
4.20,0.935959
4.30,0.940480
4.40,0.944595
4.50,0.948360
4.60,0.951805
4.70,0.954953
4.80,0.957846
4.90,0.960508
5.00,0.962954
5.10,0.965211
5.20,0.967293
5.30,0.969219
5.40,0.971004
5.50,0.972658
5.60,0.974189
5.70,0.975614
5.80,0.976932
5.90,0.978171
6.00,0.979321
6.10,0.980391
6.20,0.981398
6.30,0.982333
6.40,0.983206
6.50,0.984025
6.60,0.984799
6.70,0.985519
6.80,0.986203
6.90,0.986841
7.00,0.987444
7.10,0.988010
7.20,0.988541
7.30,0.989044
7.40,0.989520
7.50,0.989968
7.60,0.990389
7.70,0.990794
7.80,0.991173
7.90,0.991533
8.00,0.991874
8.10,0.992198
8.20,0.992505
8.30,0.992796
8.40,0.993074
8.50,0.993337
8.60,0.993588
8.70,0.993826
8.80,0.994054
8.90,0.994270
9.00,0.994477
9.10,0.994674
9.20,0.994862
9.30,0.995041
9.40,0.995213
9.50,0.995376
9.60,0.995533
9.70,0.995683
9.80,0.995827
9.90,0.995964
10.00,0.996096
10.10,0.996222
10.20,0.996343
10.30,0.996459
10.40,0.996570
10.50,0.996676
10.60,0.996779
10.70,0.996877
10.80,0.996972
10.90,0.997063
11.00,0.997150
11.10,0.997234
11.20,0.997315
11.30,0.997393
11.40,0.997468
11.50,0.997540
11.60,0.997610
11.70,0.997676
11.80,0.997741
11.90,0.997804
12.00,0.997864
