# Photon    Coherent Incoher. Photoel. 
# Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 5.918E-01 2.091E-02 6.035E+02 
1.100E-03 5.702E-01 2.422E-02 4.543E+02 
1.200E-03 5.504E-01 2.764E-02 3.504E+02 
1.300E-03 5.314E-01 3.110E-02 2.757E+02 
1.400E-03 5.130E-01 3.455E-02 2.207E+02 
1.500E-03 4.948E-01 3.792E-02 1.792E+02 
1.600E-03 4.767E-01 4.117E-02 1.473E+02 
1.700E-03 4.591E-01 4.429E-02 1.224E+02 
1.800E-03 4.421E-01 4.728E-02 1.027E+02 
1.900E-03 4.258E-01 5.012E-02 8.697E+01 
2.000E-03 4.103E-01 5.284E-02 7.424E+01 
2.100E-03 3.956E-01 5.542E-02 6.383E+01 
2.200E-03 3.818E-01 5.787E-02 5.525E+01 
2.300E-03 3.687E-01 6.019E-02 4.812E+01 
2.400E-03 3.564E-01 6.240E-02 4.213E+01 
2.500E-03 3.447E-01 6.450E-02 3.709E+01 
2.600E-03 3.338E-01 6.649E-02 3.280E+01 
2.700E-03 3.235E-01 6.838E-02 2.913E+01 
2.800E-03 3.139E-01 7.018E-02 2.598E+01 
2.900E-03 3.047E-01 7.188E-02 2.326E+01 
3.000E-03 2.962E-01 7.350E-02 2.090E+01 
3.100E-03 2.881E-01 7.504E-02 1.884E+01 
3.200E-03 2.804E-01 7.651E-02 1.704E+01 
3.300E-03 2.732E-01 7.791E-02 1.545E+01 
3.400E-03 2.664E-01 7.925E-02 1.405E+01 
3.500E-03 2.599E-01 8.053E-02 1.282E+01 
3.600E-03 2.538E-01 8.176E-02 1.172E+01 
3.700E-03 2.479E-01 8.295E-02 1.074E+01 
3.800E-03 2.424E-01 8.409E-02 9.858E+00 
3.900E-03 2.371E-01 8.520E-02 9.072E+00 
4.000E-03 2.321E-01 8.627E-02 8.366E+00 
4.100E-03 2.274E-01 8.731E-02 7.730E+00 
4.200E-03 2.228E-01 8.832E-02 7.155E+00 
4.300E-03 2.185E-01 8.931E-02 6.634E+00 
4.400E-03 2.143E-01 9.027E-02 6.162E+00 
4.500E-03 2.103E-01 9.121E-02 5.732E+00 
4.600E-03 2.065E-01 9.213E-02 5.340E+00 
4.700E-03 2.028E-01 9.303E-02 4.983E+00 
4.800E-03 1.993E-01 9.391E-02 4.656E+00 
4.900E-03 1.959E-01 9.477E-02 4.356E+00 
5.000E-03 1.926E-01 9.562E-02 4.081E+00 
5.100E-03 1.894E-01 9.646E-02 3.828E+00 
5.200E-03 1.863E-01 9.728E-02 3.595E+00 
5.300E-03 1.834E-01 9.809E-02 3.380E+00 
