# Photon    Coherent Incoher. Photoel. 
# Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 1.130E+00 1.615E-02 2.747E+03 
1.100E-03 1.108E+00 1.907E-02 2.119E+03 
1.200E-03 1.087E+00 2.217E-02 1.671E+03 
1.300E-03 1.066E+00 2.540E-02 1.342E+03 
1.400E-03 1.044E+00 2.874E-02 1.093E+03 
1.500E-03 1.022E+00 3.216E-02 9.023E+02 
1.600E-03 9.995E-01 3.561E-02 7.528E+02 
1.700E-03 9.761E-01 3.907E-02 6.341E+02 
1.800E-03 9.524E-01 4.255E-02 5.389E+02 
1.900E-03 9.286E-01 4.601E-02 4.616E+02 
2.000E-03 9.049E-01 4.945E-02 3.983E+02 
2.100E-03 8.814E-01 5.287E-02 3.460E+02 
2.200E-03 8.582E-01 5.624E-02 3.024E+02 
2.300E-03 8.354E-01 5.956E-02 2.658E+02 
2.400E-03 8.130E-01 6.284E-02 2.348E+02 
2.500E-03 7.911E-01 6.605E-02 2.084E+02 
2.600E-03 7.696E-01 6.919E-02 1.857E+02 
2.700E-03 7.487E-01 7.227E-02 1.662E+02 
2.800E-03 7.284E-01 7.528E-02 1.494E+02 
2.900E-03 7.085E-01 7.821E-02 1.346E+02 
3.000E-03 6.893E-01 8.106E-02 1.218E+02 
3.100E-03 6.705E-01 8.384E-02 1.105E+02 
3.200E-03 6.523E-01 8.653E-02 1.005E+02 
3.300E-03 6.347E-01 8.915E-02 9.172E+01 
3.400E-03 6.177E-01 9.169E-02 8.390E+01 
3.500E-03 6.012E-01 9.416E-02 7.692E+01 
3.600E-03 5.852E-01 9.655E-02 7.069E+01 
3.700E-03 5.698E-01 9.886E-02 6.511E+01 
3.800E-03 5.550E-01 1.011E-01 6.009E+01 
3.900E-03 5.406E-01 1.033E-01 5.557E+01 
4.000E-03 5.268E-01 1.054E-01 5.148E+01 
4.100E-03 5.134E-01 1.074E-01 4.778E+01 
4.200E-03 5.005E-01 1.094E-01 4.442E+01 
4.300E-03 4.881E-01 1.113E-01 4.136E+01 
4.400E-03 4.761E-01 1.131E-01 3.857E+01 
4.500E-03 4.645E-01 1.149E-01 3.603E+01 
4.600E-03 4.534E-01 1.166E-01 3.370E+01 
4.700E-03 4.426E-01 1.183E-01 3.156E+01 
4.800E-03 4.322E-01 1.199E-01 2.960E+01 
4.900E-03 4.222E-01 1.214E-01 2.779E+01 
5.000E-03 4.126E-01 1.229E-01 2.612E+01 
5.100E-03 4.033E-01 1.244E-01 2.459E+01 
5.200E-03 3.944E-01 1.258E-01 2.317E+01 
5.300E-03 3.857E-01 1.271E-01 2.185E+01 
5.400E-03 3.774E-01 1.285E-01 2.063E+01 
5.500E-03 3.693E-01 1.297E-01 1.950E+01 
5.600E-03 3.615E-01 1.310E-01 1.845E+01 
5.700E-03 3.540E-01 1.322E-01 1.747E+01 
5.800E-03 3.467E-01 1.333E-01 1.656E+01 
5.900E-03 3.397E-01 1.345E-01 1.571E+01 
6.000E-03 3.329E-01 1.356E-01 1.491E+01 
6.100E-03 3.263E-01 1.366E-01 1.417E+01 
6.200E-03 3.200E-01 1.377E-01 1.347E+01 
6.300E-03 3.138E-01 1.387E-01 1.282E+01 
6.400E-03 3.079E-01 1.396E-01 1.221E+01 
6.500E-03 3.021E-01 1.406E-01 1.164E+01 
6.600E-03 2.965E-01 1.415E-01 1.110E+01 
6.700E-03 2.911E-01 1.424E-01 1.059E+01 
6.800E-03 2.859E-01 1.433E-01 1.012E+01 
6.900E-03 2.808E-01 1.441E-01 9.666E+00 
7.000E-03 2.759E-01 1.449E-01 9.243E+00 
7.100E-03 2.711E-01 1.457E-01 8.844E+00 
7.200E-03 2.665E-01 1.465E-01 8.466E+00 
7.300E-03 2.620E-01 1.473E-01 8.110E+00 
7.400E-03 2.576E-01 1.480E-01 7.773E+00 
7.500E-03 2.533E-01 1.487E-01 7.454E+00 
