# Photon    Coherent Incoher. Photoel. 
# Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 3.787E-01 1.017E-02 6.044E+01 
1.100E-03 3.739E-01 1.214E-02 4.443E+01 
1.200E-03 3.693E-01 1.425E-02 3.356E+01 
1.300E-03 3.647E-01 1.650E-02 2.593E+01 
1.400E-03 3.598E-01 1.887E-02 2.044E+01 
1.500E-03 3.546E-01 2.135E-02 1.638E+01 
1.600E-03 3.492E-01 2.392E-02 1.333E+01 
1.700E-03 3.435E-01 2.656E-02 1.098E+01 
1.800E-03 3.376E-01 2.927E-02 9.143E+00 
1.900E-03 3.316E-01 3.204E-02 7.682E+00 
2.000E-03 3.254E-01 3.486E-02 6.504E+00 
2.100E-03 3.192E-01 3.771E-02 5.545E+00 
2.200E-03 3.129E-01 4.059E-02 4.757E+00 
2.300E-03 3.066E-01 4.349E-02 4.106E+00 
2.400E-03 3.003E-01 4.640E-02 3.563E+00 
2.500E-03 2.939E-01 4.931E-02 3.108E+00 
2.600E-03 2.876E-01 5.221E-02 2.725E+00 
2.700E-03 2.813E-01 5.510E-02 2.400E+00 
2.800E-03 2.750E-01 5.798E-02 2.122E+00 
2.900E-03 2.688E-01 6.082E-02 1.885E+00 
3.000E-03 2.627E-01 6.364E-02 1.681E+00 
3.100E-03 2.566E-01 6.643E-02 1.504E+00 
3.200E-03 2.506E-01 6.917E-02 1.350E+00 
3.300E-03 2.448E-01 7.188E-02 1.217E+00 
3.400E-03 2.390E-01 7.454E-02 1.100E+00 
3.500E-03 2.333E-01 7.715E-02 9.971E-01 
3.600E-03 2.277E-01 7.972E-02 9.067E-01 
3.700E-03 2.222E-01 8.224E-02 8.268E-01 
3.800E-03 2.168E-01 8.471E-02 7.560E-01 
3.900E-03 2.116E-01 8.713E-02 6.931E-01 
4.000E-03 2.064E-01 8.949E-02 6.370E-01 
4.100E-03 2.014E-01 9.180E-02 5.869E-01 
4.200E-03 1.965E-01 9.406E-02 5.419E-01 
4.300E-03 1.917E-01 9.627E-02 5.014E-01 
4.400E-03 1.870E-01 9.842E-02 4.648E-01 
4.500E-03 1.825E-01 1.005E-01 4.316E-01 
4.600E-03 1.781E-01 1.026E-01 4.014E-01 
4.700E-03 1.738E-01 1.046E-01 3.740E-01 
4.800E-03 1.696E-01 1.065E-01 3.489E-01 
4.900E-03 1.655E-01 1.084E-01 3.259E-01 
5.000E-03 1.616E-01 1.103E-01 3.048E-01 
5.100E-03 1.578E-01 1.120E-01 2.854E-01 
5.200E-03 1.540E-01 1.138E-01 2.676E-01 
5.300E-03 1.504E-01 1.155E-01 2.511E-01 
5.400E-03 1.469E-01 1.171E-01 2.359E-01 
5.500E-03 1.435E-01 1.188E-01 2.218E-01 
5.600E-03 1.402E-01 1.203E-01 2.088E-01 
5.700E-03 1.370E-01 1.218E-01 1.967E-01 
5.800E-03 1.339E-01 1.233E-01 1.855E-01 
5.900E-03 1.309E-01 1.248E-01 1.751E-01 
6.000E-03 1.280E-01 1.262E-01 1.654E-01 
6.100E-03 1.251E-01 1.275E-01 1.563E-01 
6.200E-03 1.224E-01 1.288E-01 1.479E-01 
6.300E-03 1.197E-01 1.301E-01 1.400E-01 
6.400E-03 1.171E-01 1.314E-01 1.327E-01 
6.500E-03 1.146E-01 1.326E-01 1.258E-01 
6.600E-03 1.121E-01 1.338E-01 1.194E-01 
